Light,ObsGrowth,PredGrowth,likelihood ,LogLikelihood
98.5,18.2,25.81,0.029855534,-1.524975157
98.5,26,25.81,0.039887324,-1.399165096
98.5,25.7,25.81,0.039891638,-1.399118132
23.5,6.2,16.15,0.02430875,-1.614237365
11.8,10,8.37,0.039364792,-1.404892038
11.8,11.2,8.37,0.038323237,-1.416537811
19.4,7.3,14.15,0.031540781,-1.501127552
19.4,15.7,14.15,0.039420873,-1.404273766
98.7,44.2,25.82,0.007370069,-2.132528448
98.7,39.7,25.82,0.015228967,-1.81732955
98.7,30,25.82,0.036559528,-1.436999424
10.9,4.8,7.39,0.038581408,-1.413621929
6.5,4.2,0.97,0.03786375,-1.421776375
6.5,5.3,0.97,0.036320755,-1.439845127
11.1,4.7,7.61,0.038238187,-1.417502709
50.4,28.2,22.42,0.033765338,-1.471528898
57.5,22.7,23.23,0.039837583,-1.399707017
56.3,36.3,23.11,0.016712944,-1.776947049
53.6,37.3,22.81,0.01396632,-1.854918009
53.5,35.3,22.80,0.018264909,-1.738382498
57,37.3,23.18,0.014726025,-1.831914455
67.8,33.8,24.14,0.025020964,-1.601695965
70.9,32,24.37,0.029814399,-1.525573936
75.1,34.2,24.65,0.025283331,-1.597165704
22.6,12.5,15.76,0.037830292,-1.422160306
64.3,26.2,23.86,0.038817588,-1.410971454
12.8,11.5,9.36,0.038989271,-1.409054883
29,7.5,18.16,0.022607417,-1.645749049
39.6,25,20.74,0.036434831,-1.438483244
29.6,14.3,18.34,0.036764919,-1.434566392
28.7,17.2,18.06,0.039745718,-1.400709656
71.1,28.3,24.38,0.036946795,-1.432423225
98,12.7,25.79,0.016927103,-1.771417359
98,30.3,25.79,0.036043594,-1.443171907
98,25,25.79,0.039768548,-1.400460262
5.6,2.7,-0.82,0.03749517,-1.426024672
6.9,3.5,1.70,0.039251815,-1.406140262
39.1,19.2,20.64,0.039480184,-1.403620827
28.8,30.7,18.10,0.018026295,-1.74409352
38.2,32.2,20.47,0.020041594,-1.698067744
43.4,46.7,21.41,0.001630474,-2.78768603
38.2,24.8,20.47,0.036318174,-1.439875994
56.4,31.7,23.12,0.027607478,-1.558973265
53.5,26.8,22.80,0.036827014,-1.433833493
29.4,29.7,18.28,0.020786264,-1.682223556
39.1,30.8,20.64,0.023820816,-1.623043374
18.7,28.7,13.75,0.013057905,-1.884126499
18,20.2,13.33,0.031515393,-1.501477271
25.4,4.7,16.92,0.01891131,-1.723278387
57.1,25.5,23.19,0.038845817,-1.410655738
25.9,6.8,17.11,0.02345683,-1.629730684
15.5,10.5,11.63,0.039639145,-1.401875723
14.6,4.2,10.93,0.031804851,-1.497506628
42.9,26.3,21.33,0.035258312,-1.452738487
37.1,31.3,20.24,0.021638196,-1.664778944
66.4,13.5,24.03,0.022911396,-1.639948456
39.3,14.3,20.68,0.032541088,-1.48756793
14.9,16.8,11.17,0.034050145,-1.467881031
14.9,8.2,11.17,0.038171195,-1.418264249
27.4,11.7,17.64,0.033447274,-1.475639277
19.7,23.2,14.32,0.026896849,-1.570298589
22.9,21.2,15.89,0.034654671,-1.460238215
98.3,37,25.81,0.021321594,-1.671180326
98.3,34.2,25.81,0.028048864,-1.552084717
98.3,29.2,25.81,0.037661585,-1.424101412
7.7,5.3,3.05,0.038900482,-1.410045013
7.7,6,3.05,0.038199938,-1.41793734
8.8,6.5,4.72,0.039266575,-1.405976978
8.8,4,4.72,0.039791213,-1.400212817
8.8,6.7,4.72,0.03911914,-1.407610706
41.3,16.8,21.05,0.036443487,-1.438380069
43.4,17,21.41,0.036194005,-1.441363356
40.5,23.2,20.91,0.038860967,-1.410486396
80.5,31.7,24.97,0.031813994,-1.497381811
82.8,31.2,25.10,0.033117506,-1.479942376
83.5,23.5,25.14,0.039364458,-1.404895728
85.9,27.3,25.26,0.039071224,-1.408142985
