tree,loc,P1,P2,P3,P4,P5,P6,P7,P8,P9,Ks1,Ks2,Ks3,Ks4,Ks5,Ks6,Ks7,Ks8,Ks9
1,1,NA,1,2,3,4,5.5,7,8.5,10,1,0.952767706,0.913262412,0.790876079,0.712213053,0.666629593,0.53108317,0.27380383,0.212382663
2,1,NA,1,2,3,4,5.5,7,8.5,10,1,0.94609396,0.898832052,0.806271955,0.723225274,0.687938063,0.628910435,0.243205769,0.256712962
3,1,NA,1,2,3,4,5.5,7,8.5,10,1,0.89949599,0.866223972,0.809403282,0.598465897,0.579777058,0.354528732,0.442936502,0.259348098
4,1,NA,1,2,3,4,5.5,7,8.5,10,1,0.888842586,0.863517742,0.807071418,0.635187665,0.554584705,0.402382872,0.170616486,0.169653227
5,1,NA,1,2,3,4,5.5,7,8.5,10,1,1.057903297,1.025799202,0.896347775,0.938731332,0.845299423,0.690971462,0.605098329,0.426680467
6,1,NA,1,2,3,4,5.5,7,8.5,10,1,1.037845506,1.016387369,1.023720046,0.913807523,0.910698722,0.78475523,0.70000247,0.625521809
7,2,NA,2,4,5.5,7,8.5,10,12,14,1,0.895332943,0.808826401,0.739178546,0.619735729,0.505565319,0.209919938,0.102258673,NA
8,2,NA,2,4,5.5,7,8.5,10,12,14,1,0.922625987,0.883189555,0.83502648,0.673750125,0.554374979,0.274522866,0.246444393,NA
9,2,NA,2,4,5.5,7,8.5,10,12,14,1,1.01223731,1.007318853,0.948509166,0.871861248,0.761819594,0.446167604,0.102158002,NA
10,2,NA,2,4,5.5,7,8.5,10,12,14,1,0.875090633,0.8727836,0.769033024,0.64201437,0.525805814,0.301232615,0.088919649,NA
11,2,NA,2,4,5.5,7,8.5,10,12,14,1,0.964250825,1.038072607,1.03250165,0.806521452,0.644990099,0.414468647,0.244673267,NA
12,2,NA,2,4,5.5,7,8.5,10,12,14,1,0.987699012,1.027519067,0.901521808,0.826802095,0.684743261,0.320704319,0.232840122,NA
